Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;22.3359880140464;1.8563503595939;22.4129961678752;4.75094994098352;8.26415597913501
2;75431;22.3168151520664;2.28372997823814;22.4333604514572;5.84286756980739;9.5991799757644
3;56899;22.4112447634632;2.83549449569406;22.5899075005403;7.21080989946983;11.0692049720529
4;42919;22.5880476033069;3.53459868217188;22.8629237494523;8.89357464426683;12.4742329685056
5;32375;22.8605175161601;4.43121431731143;23.2860241654218;10.9700014312698;13.8392559650592
6;24421;23.138710426413;5.52809290307481;23.7899081827236;13.4367229040996;15.9692989596814
7;18421;23.5827653959095;6.91675205430918;24.5761730686309;16.3462495946384;17.2293199565001
8;13895;24.1234932804934;8.6795630763795;25.6374285615944;19.7885844779215;19.4943639507815
9;10481;24.7478456669428;10.8819521155018;27.0346582556335;23.7357214674915;20.6943829477517
10;7906;25.5529062613324;13.7623167234201;29.0233075302621;28.3060736898403;22.8644249422729
11;5963.6;26.4106800731493;17.3774029283755;31.6148407312351;33.3436680534953;24.0594449392557
12;4498.4;27.4114920467042;22.0252303709396;35.1639114593284;38.7819998227108;25.3694689359482
13;3393.2;28.5963283175704;28.0064321835524;40.0263692694978;44.4029030567898;26.6244949327796
14;2559.5;30.0343759861652;35.7333558110112;46.6790794510203;49.9524876752663;27.9045159295479
15;1930.7;31.8023555392475;45.7324650523206;55.7032151460437;55.1852491830008;29.2395419261773
16;1456.3;34.0072121618707;58.6683758167946;67.8120107355853;59.9012103426245;30.379565923299
17;1098.5;36.8038478995393;75.5132424437538;84.0046010917352;64.0161969810537;32.5046049179338
18;828.64;40.3457628287192;97.3410551370283;105.371066206152;67.4870503108119;34.6846449124297
19;625.06;44.8513307387121;125.593019038864;133.361344850484;70.3475187721182;36.9596879066858
20;471.49;50.6182723658018;162.232584247342;169.945935193724;72.6715291372189;39.1247279012196
21;355.65;58.0102559471231;209.618950992127;217.497803230494;74.531026658954;41.3297668956524
22;268.27;67.554326068829;271.086204337553;279.3766582103;76.006975851427;43.6198088898706
23;202.36;79.9288237570361;350.380674821091;359.381738761538;77.149584036737;45.8748528841771
24;152.64;96.1721667685928;453.053598487994;463.148624918488;78.015409908903;48.0948918785721
25;115.14;117.860873658385;586.909627785008;598.626842637594;78.6451166378914;51.2649528705684
26;86.851;146.071198087562;758.803542804743;772.735149636514;79.1037374718457;53.4749948649886
27;65.513;183.289014087427;980.204992300218;997.194409137662;79.408548515845;55.5500308597497
28;49.417;233.22078551993;1268.67885416616;1289.93719607076;79.5836326552259;59.3751008500923
29;37.276;299.022407668461;1638.08116317828;1665.14993242271;79.6548855277661;63.3201758401319
30;28.118;386.038349408433;2112.4240294918;2147.40794624318;79.6436686796704;65.7352198340345
31;21.21;499.968125005192;2723.84586689448;2769.35090456579;79.599005749672;68.3902698273312
32;15.999;651.626324093592;3503.77581991318;3563.85491602282;79.4645929587729;71.0453218206278
33;12.068;851.978281778972;4510.58001259822;4590.33757393436;79.303736587286;73.9403728133185
34;9.103;1120.03830337724;5811.04435476561;5917.99985587068;79.0904213608489;78.6304588014772
35;6.8665;1472.36477432084;7468.18978258162;7611.94565517367;78.8470833009279;81.9205197931706
36;5.1795;1934.9141521597;9575.66300324242;9769.19724070988;78.5763027748018;85.2305787848135
37;3.9069;2549.04302193878;12248.5292056884;12510.9587174723;78.2439681763563;87.5856217788676
38;2.9471;3340.32191993253;15692.2519810082;16043.8312994197;77.9831252455008;91.3506927693617
39;2.223;4387.74287914927;20043.4845271099;20518.1275842125;77.6520997284533;93.9757397627341
40;1.6768;5741.73564773166;25580.4867501422;26216.9569291066;77.3491975972685;98.1708207521425
41;1.2649;7337.22532376404;32598.3589092839;33413.8875174705;77.3152760356174;101.020870744947
42;0.9541;9604.63046058094;41321.2595848617;42422.8172091841;76.9146380411196;106.175968731931
43;0.71969;12306.1046295245;52789.1509575474;54204.5631840303;76.8776754717161;113.771109712756
44;0.54287;14911.0642451638;67237.1035345593;68870.6608697814;77.495973649378;119.986224697064
45;0.40949;20633.766428603;86642.8216611322;89065.8793390202;76.6046716293755;127.38636167838
46;0.30888;26708.3916338475;111625.769078468;114776.524193872;76.5439698470995;136.066522656465
47;0.233;33280.3008589863;136209.170795908;140215.964262895;76.2697946165525;146.696719629626
48;0.17575;17645.36595198;179786.564171985;180650.401594755;84.3945900063981;159.866961596375
49;0.13257;49993.1264361221;208055.653601969;213977.727080648;76.4887044297062;167.722105576542
50;0.1;50271.8946681652;369013.214251582;372421.824932175;82.2421644768914;188.437492524241
