Time (s);WE(1).Potential (V);OCP value (V)
0.1319018;0.279937744140625;0.27996826171875
0.3839149;0.279937744140625;
0.638042;0.279937744140625;
0.8880408;0.279937744140625;
1.1536502;0.279937744140625;
1.4397603;0.279937744140625;
1.6897865;0.279937744140625;
1.9397015;0.279937744140625;
2.1897882;0.279937744140625;
2.4397209;0.279937744140625;
2.7053269;0.279937744140625;
2.9553428;0.279937744140625;
3.2053269;0.279937744140625;
3.4553462;0.279937744140625;
3.7053263;0.279937744140625;
3.9709687;0.279937744140625;
4.2209716;0.279937744140625;
4.4709693;0.279937744140625;
4.7209693;0.279937744140625;
4.9710166;0.279937744140625;
5.2264916;0.27996826171875;
5.485909;0.27996826171875;
5.7515958;0.27996826171875;
6.001548;0.27996826171875;
6.2515337;0.27996826171875;
6.5015474;0.27996826171875;
6.7515468;0.27996826171875;
7.0015326;0.27996826171875;
7.2515309;0.27996826171875;
7.5171585;0.27996826171875;
7.7671596;0.27996826171875;
8.0171761;0.27996826171875;
8.2827826;0.27996826171875;
8.5484091;0.27996826171875;
8.7984906;0.27996826171875;
9.0538334;0.27996826171875;
9.3266076;0.27996826171875;
9.5788322;0.27996826171875;
9.8287655;0.27996826171875;
10.0787512;0.27996826171875;
