Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;22.5771907195599;2.16105261610656;22.6803811519331;5.46760297320964;8.25715597915269
2;75431;22.6318494669841;2.62619879620041;22.7837119542316;6.61899675146794;9.52217897595881
3;56899;22.8440413880944;3.20949738545531;23.0684004735529;7.9974832296715;10.9322039723988
4;42919;23.1969022974292;3.92194338966493;23.5261113690345;9.59635252202377;12.3722309687631
5;32375;23.715359289724;4.78178123324019;24.1926372684598;11.3998282094356;13.8172579651148
6;24421;24.3409130978432;5.75206861056082;25.0113243099472;13.2958101054072;16.0972989593582
7;18421;25.2836914715164;6.86551251681093;26.199242671217;15.191738938359;17.3823239561139
8;13895;26.4839361183136;8.07120339713711;27.6865165124989;16.9490432629303;18.7073479527685
9;10481;27.9836583566791;9.33871400237382;29.5007917561795;18.4548993235273;21.8374079448658
10;7906;29.801448723041;10.6525917973526;31.6481288229346;19.6695388279652;24.1574479390083
11;5963.6;31.7545653593117;11.9309279817148;33.9219613770145;20.5923659934802;25.4474729357513
12;4498.4;33.8892805747644;13.2157504348204;36.3749831261893;21.3042148881353;26.8074959323176
13;3393.2;36.1590068236102;14.5516767770331;38.9772378638242;21.9216167891201;28.1975229288081
14;2559.5;38.5529281071067;16.0001927962577;41.7412797497771;22.5393725337843;29.592548925286
15;1930.7;41.0741388112504;17.642764194484;44.7029306366824;23.2451970989486;30.9075729219659
16;1456.3;43.7502576176616;19.5664543713102;47.9263098754361;24.0956548959983;32.25259991857
17;1098.5;46.6146043297006;21.8617094254501;51.4864610923819;25.126033258601;33.5476229153004
18;828.64;49.7260902679807;24.6380177792493;55.4951887412771;26.3572497335246;34.8926479119045
19;625.06;53.158639164973;28.0114540901301;60.087290487384;27.7865743621917;36.3926739081173
20;471.49;57.0085952997599;32.1150143581742;65.4320570154839;29.3941424347406;37.8477029044437
21;355.65;61.4013348187088;37.1024151266042;71.7405960788315;31.1429203369809;39.3227279007197
22;268.27;66.4944645390178;43.1170528829662;79.2501991394545;32.9606140220655;41.6927758947359
23;202.36;72.5107937297714;50.3355370405708;88.2693689593629;34.7676050607646;43.9378168890677
24;152.64;79.6712096653174;58.9004783846153;99.0796043768419;36.4753089854149;46.2378588832606
25;115.14;88.286773017077;68.942529226338;112.016189124132;37.9860307930101;48.6379038772011
26;86.851;98.6272989555267;80.5492811673103;127.340216726034;39.2386404048443;50.9129438714572
27;65.513;110.952122771851;93.7485466735733;145.255511258565;40.1960030667821;53.0929858659531
28;49.417;125.773332634924;108.791427365102;166.296439740097;40.8591525840143;56.988059856119
29;37.276;143.184278771421;125.566511416748;190.443394415938;41.2493822772184;60.9831328460324
30;28.118;163.599948328596;144.231865348441;218.100376145962;41.3998244601358;63.4181778398845
31;21.21;187.065451342529;164.832485130027;249.325552721988;41.3848488911681;65.3032098351252
32;15.999;213.841315350763;187.431554428826;284.356634785528;41.2345107389481;68.0382638282199
33;12.068;244.276574936051;212.46374153432;323.746639409972;41.0156746296077;70.9083158209737
34;9.103;278.144148903579;240.187050098287;367.496920537048;40.8117385744838;74.0033738131594
35;6.8665;316.094294536924;271.499289379242;416.686293477755;40.6598969399956;77.1934328051053
36;5.1795;358.045546808533;307.080987861482;471.694124084035;40.6183383571721;80.5784947965589
37;3.9069;405.447239528091;348.586876838624;534.696432328715;40.6875895189773;84.9835777854371
38;2.9471;458.136253685227;396.084335538419;605.616733421102;40.845242744467;88.5286427764867
39;2.223;517.224889356823;451.045018451963;686.267582536513;41.0899959676236;92.3437137668545
40;1.6768;584.346999705444;515.02500287412;778.917306041046;41.3919344444052;95.0237617600881
41;1.2649;660.219481519063;589.076247783783;884.816698237731;41.740716216016;99.5088457487643
42;0.9541;746.250066206657;675.631963257976;1006.6616666434;42.156727970196;104.608940735888
43;0.71969;843.515111694189;775.714998597468;1145.97185947367;42.6023219726173;110.144042721913
44;0.54287;953.984773971487;893.5899526167;1307.13042669312;43.1277419630899;116.469159705944
45;0.40949;1080.41034161733;1032.39021046054;1494.36141978051;43.697994831846;123.824296687374
46;0.30888;1223.16513995559;1194.8688259753;1709.92528225364;44.3295440056273;132.554455665332
47;0.233;1387.99103011032;1389.82699452548;1964.21439114432;45.0378689302448;143.124652638645
48;0.17575;1578.9377210931;1619.18325487472;2261.59208080445;45.7209788304016;156.159894605734
49;0.13257;1797.82823585257;1895.47119209841;2612.46959900086;46.5144253790885;172.470195564555
50;0.1;2062.021414953;2217.21374996474;3027.86544099263;47.0769997904959;193.095578512481
