Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;WE(1).Potential (V)
0.283050537109375;19.5744139505794;1E-06;1;1;0.2850341796875
0.286102294921875;19.6049319505023;1E-05;1;2;0.288238525390625
0.289154052734375;19.6354499504253;1.64581298828125E-05;1;3;0.28961181640625
0.292205810546875;19.6659679503482;1.97265625E-05;1;4;0.29278564453125
0.295257568359375;19.6964859502712;2.24029541015625E-05;1;5;0.29583740234375
0.298309326171875;19.7270039501941;2.4713134765625E-05;1;6;0.298980712890625
0.301361083984375;19.7575219501171;2.66387939453125E-05;1;7;0.30206298828125
0.304412841796875;19.78803995004;2.8204345703125E-05;1;8;0.30511474609375
0.307464599609375;19.818557949963;2.94921875E-05;1;9;0.308258056640625
0.310516357421875;19.8490759498859;3.05328369140625E-05;1;10;0.311279296875
0.313568115234375;19.8795939498089;3.1329345703125E-05;1;11;0.314361572265625
0.316619873046875;19.9101119497318;3.1927490234375E-05;1;12;0.317413330078125
0.319671630859375;19.9406299496547;3.23272705078125E-05;1;13;0.32049560546875
0.322723388671875;19.9711479495777;3.25653076171875E-05;1;14;0.32354736328125
0.325775146484375;20.0016659495006;3.2672119140625E-05;1;15;0.3265380859375
0.328826904296875;20.0321839494236;3.26568603515625E-05;1;16;0.329620361328125
0.331878662109375;20.0627019493465;3.25225830078125E-05;1;17;0.332672119140625
0.334930419921875;20.0932199492695;3.23211669921875E-05;1;18;0.33575439453125
0.337982177734375;20.1237379491924;3.20281982421875E-05;1;19;0.33880615234375
0.341033935546875;20.1542559491154;3.1689453125E-05;1;20;0.341827392578125
0.344085693359375;20.1847739490383;3.12744140625E-05;1;21;0.3448486328125
0.347137451171875;20.2152919489613;3.08502197265625E-05;1;22;0.347900390625
0.350189208984375;20.2458099488842;3.03955078125E-05;1;23;0.3509521484375
0.353240966796875;20.2763279488072;2.99072265625E-05;1;24;0.353912353515625
0.356292724609375;20.3068459487301;2.94036865234375E-05;1;25;0.35699462890625
0.359344482421875;20.3373639486531;2.89093017578125E-05;1;26;0.360076904296875
0.362396240234375;20.367881948576;2.83966064453125E-05;1;27;0.363067626953125
0.365447998046875;20.398399948499;2.79022216796875E-05;1;28;0.366180419921875
