Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;22.5866603219664;2.10304756238648;22.6843565822253;5.31948217102828;8.40915897876891
2;75431;22.6799418468799;2.52679300570756;22.8202639132756;6.35715903424971;9.76418397534781
3;56899;22.9307550363355;3.03989025322649;23.1313739170005;7.55156916739894;11.1042069719646
4;42919;23.3365684633925;3.64583909800773;23.6196437393786;8.87946146699179;12.4592309685435
5;32375;23.9179513466636;4.34123512240585;24.3087375034036;10.2874927994639;13.8992579649077
6;24421;24.5937014814295;5.06266494237443;25.1093753183231;11.6319707636015;16.2443039589871
7;18421;25.5579110465073;5.82693369514903;26.2137363485033;12.8433074193634;17.5493249556922
8;13895;26.7131792593009;6.57246891449533;27.5098399444917;13.822416203675;20.5643849480799
9;10481;28.0258634432989;7.26434608852576;28.9520249004507;14.5313545752677;21.8994069447093
10;7906;29.5539296205792;7.91793272989173;30.5962156930107;14.9981570783945;24.1744509389654
11;5963.6;31.0685439133865;8.48607674012352;32.206644024755;15.2771519413665;25.4294729357968
12;4498.4;32.6140935527818;9.02950942595711;33.8409683481879;15.4752349493423;26.8644989321737
13;3393.2;34.1771257773896;9.59562052340672;35.4986177143947;15.6826963268868;28.2045239287904
14;2559.5;35.7621487779737;10.2342681014478;37.1977355330972;15.9698497777512;29.5495489253946
15;1930.7;37.3793323892868;10.9971645328596;38.9634715808483;16.3941157272783;30.9445729218725
16;1456.3;39.0566983223519;11.9325920887795;40.8388594086613;16.9889461177687;32.2395989186028
17;1098.5;40.8282913108978;13.0908214777189;42.8756221917424;17.7774681389257;33.5896219151944
18;828.64;42.7306771544055;14.5237665017714;45.1314808473199;18.772427620389;34.9646479117228
19;625.06;44.8152773582096;16.2860856024739;47.6827607101808;19.9713860630725;36.404676908087
20;471.49;47.135307365327;18.4460208673063;50.6161326679641;21.3724882575808;37.9847059040978
21;355.65;49.7603304036626;21.0681911008472;54.0366464368717;22.9474743039179;39.3847289005631
22;268.27;52.7734053994516;24.2359490199384;58.0724852434603;24.6667402555556;40.8897578967633
23;202.36;56.2786125549638;28.0118855068569;62.8645206834585;26.4611782230739;42.3247838931402
24;152.64;60.4036515991128;32.4824929028059;68.583623932305;28.2694575481628;43.824810889353
25;115.14;65.2821592421564;37.6928776836251;75.3824471836182;30.0014517256762;46.3048598830915
26;86.851;71.0544887508805;43.7039596731299;83.4192811210907;31.5947037150094;48.4948998775621
27;65.513;77.8627324061866;50.5370292904908;92.825623764483;32.9857019926326;50.7349428719066
28;49.417;85.8367334366041;58.2884145734998;103.756850764462;34.1789134111223;54.6400188620472
29;37.276;95.0043400694764;66.9883021841124;116.24653655721;35.1879626410295;58.6750908518596
30;28.118;105.522003560195;76.7942305153196;130.507651407103;36.0454651937965;61.1301358456612
31;21.21;117.464460932304;87.9720132871116;146.754811518752;36.8304396436035;63.880184838718
32;15.999;131.005005833945;100.697428011124;165.234026645868;37.5477989492208;66.5552358319642
33;12.068;146.393105176037;115.274099827892;186.33051101259;38.2179025963686;69.5102878245034
34;9.103;163.849575750358;132.137633542527;210.492369628429;38.8846826588859;72.6403488166007
35;6.8665;183.80812292017;151.714019369642;238.332896858005;39.5360419080923;75.8654078084583
36;5.1795;206.551832054069;174.290116699245;270.260437548541;40.1579453633378;79.240468799937
37;3.9069;232.838241947238;200.545617385873;307.298212760441;40.7386087059701;82.7205357911507
38;2.9471;262.903872899566;230.813258959435;349.847405159829;41.2811215457434;86.4306037817837
39;2.223;297.487987561469;265.851614395147;398.968900567298;41.785724453545;90.330675771937
40;1.6768;337.19040714673;306.436094743429;455.631924730238;42.2643247892302;94.4257517615979
41;1.2649;383.235113942647;354.054389154314;521.750575503342;42.733508767496;100.445861746399
42;0.9541;435.760998942498;408.845036884077;597.529842254014;43.1747119755424;105.560955733484
43;0.71969;495.649522408532;472.144059869194;684.53521628443;43.6086918713668;111.061060719598
44;0.54287;565.564289154084;546.687385858885;786.593963251426;44.0276813369894;117.196173704108
45;0.40949;646.208647731978;632.941856660158;904.544642522413;44.4057744732573;124.516308685627
46;0.30888;740.05042052358;733.462662456138;1041.94150610021;44.7438446775321;133.221470663648
47;0.233;849.296878967005;851.050566125921;1202.32784827032;45.0590931209118;143.841666636835
48;0.17575;977.120897323784;987.61602424099;1389.29862136418;45.3060566286711;156.981910603659
49;0.13257;1126.06081047347;1145.17112686853;1606.06035337951;45.4820796230961;173.327212562391
50;0.1;1301.27740334128;1327.72173179794;1859.07715749916;45.5763019454066;193.867590510531
